"","sector","code","description","region","nondis","estab","employ","wage","bea.comp.st","bea.earn.st","bea.empl.st","gdp.comp.st","us.comp.gdp.ratio","us.comp.out.ratio","st.output","st.gdp.est","gdp","taxsub.est","taxsub.st","surplus.est","surplus.st","check","output","jobs.1000output.ratio","earn.output.ratio","comp.output.ratio","valueadded.output.ratio","taxsub.output.ratio","surplus.output.ratio","Code","Description","st.total.dem","rpc"
"1",1,"1111A0","Oilseed farming",34000,0,9,37,976339,1320573.48238191,1920169.16040482,79.7069641981363,1004416.82185387,0.00978719583370746,0.00508751458576429,197427801.910267,102625597.660427,88138355.272261,2983582.64682072,6016132.82781833,84284231.269604,76450825.905809,0,197427801.910267,0.000403727152036895,0.00972593090651721,0.00668889320351206,0.446433351430012,0.0304725715912732,0.387234346764174,"1111A0","Oilseed farming",329071864.109895,0.847774747553719
"2",2,"1111B0","Grain farming",34000,0,12,36,1272910,1721708.53715642,2503436.33304713,77.552721922511,1309516.69113495,0.120702091849002,0.0156980471254124,83419082.6841814,10849163.184124,9317630.5028018,0,0,8192973.01003755,7431515.28828455,0,83419082.6841814,0.000929676033673495,0.0300103555744549,0.0206392648031708,0.111696631070347,0,0.0890865141303428,"1111B0","Grain farming",1201888495.16426,0.518079029099368
"3",3,"111200","Vegetable and melon farming",34000,0,170,2452,62095897,83989469.787562,122124207.275418,5282.20205983325,63881667.6532487,0.241591928251121,0.161181750186986,396333130.637557,264419710.193493,227092644.421297,2691360.61613965,5426892.72291777,169537533.94777,153780657.391076,0,396333130.637557,0.0133276823245538,0.30813524743431,0.211916348382113,0.572984257097021,0.0136927556729559,0.388008585463694,"111200","Vegetable and melon farming",570585937.962036,0.871129109914095
"4",4,"111300","Fruit and tree nut farming",34000,0,85,1625,46064985,62306430.0999146,90596159.2966284,3500.64369789112,47389734.336584,0.348091724192653,0.232522393597286,203807184.346554,136141513.983125,116922964.643305,2681166.13361225,5406336.44268163,73551159.540754,66715289.5448956,0,203807184.346554,0.0171762526876316,0.444518968195835,0.30571262882455,0.573694028589735,0.0265267216168823,0.327345131423105,"111300","Fruit and tree nut farming",710691383.097538,0.762860507297594
"5",5,"111400","Greenhouse, nursery, and floriculture production",34000,0,256,2853,89063774,120465594.619549,175162020.716232,6146.053212359,91625094.1767062,0.477863154043176,0.281192808698461,325844372.05491,191739190.187548,164672140.768271,1551521.26775813,3128506.60998595,84429870.929945,76582929.7661634,0,325844372.05491,0.0188619283911502,0.537563437452019,0.369702854954476,0.505370523142015,0.00960122953867913,0.23502916218316,"111400","Greenhouse, nursery, and floriculture production",521325637.569114,0.861255581963313
"6",6,"111900","Other crop farming",34000,0,84,781,24566901,33228620.3919967,48315805.9515378,1682.46321726336,25273402.6042375,0.442612137203166,0.227611940298507,111037244.228453,57100563.8569657,49039907.1791456,683933.87321085,1379092.69282862,26650315.1811282,24173425.7471023,0,111037244.228453,0.0151522421954366,0.435131529850746,0.299256529850746,0.44165277623649,0.0124200911361886,0.217705562805276,"111900","Other crop farming",575492371.367463,0.68609077736512
"7",7,"1121A0","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",34000,0,5,16,595423,805355.337234593,1171020.39557543,34.4678764100049,612546.336179028,0.063838026221165,0.0208401054646585,29392669.6876755,9595320.72713023,8240787.93672358,1252734.70432685,2526029.70032654,6461977.59600912,5861399.18176954,0,29392669.6876755,0.00117266913064578,0.0398405591604511,0.027399870300733,0.280368813867187,0.0859408052132714,0.199417039828378,"1121A0","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",541743922.195954,0.433916293541104
"8",8,"112120","Dairy cattle and milk production",34000,0,15,64,3096783,4188636.84692622,6090453.43171371,137.87150564002,3185841.12570643,0.15201479312736,0.0545705988106763,58380175.3167338,20957441.4447763,17998963.8235216,388297.239431855,782967.340149429,14874557.8219503,13492111.3159861,0,58380175.3167338,0.00236161513548077,0.10432400037634,0.0717475893863171,0.308306094078522,0.0134115277301163,0.231107756062506,"112120","Dairy cattle and milk production",728493829.581154,0.563321303458177
"9",9,"112A00","Animal production, except cattle and poultry and eggs",34000,2,43,155,4381473,5926278.73881134,8617057.52996286,333.907552721923,4507476.58927743,0.108124730918261,0.0743717742617819,60607355.868794,41687748.5011727,35802856.9056886,874207.158592678,1762762.09098062,31059677.5112084,28172980.429808,0,60607355.868794,0.00550935687484508,0.14217841063084,0.0977815094200919,0.590734513863243,0.0290849529023629,0.464844242517333,"112A00","Animal production, except cattle and poultry and eggs",412241638.824647,0.664802430402933
"10",10,"112300","Poultry and egg production",34000,0,7,137,5064653,6850332.1584675,9960669.90947998,295.131191760667,5210303.66507193,0.196488780374375,0.0502796620254671,103626465.556448,26517054.3333039,22773748.5469848,283314.858101078,571279.572311108,18012999.8099218,16338865.4291059,0,103626465.556448,0.00284802912244364,0.0961209074920549,0.0661060099047374,0.219767686031705,0.00551287327270576,0.157670777840104,"112300","Poultry and egg production",330321924.701343,0.615488514779955
"11",11,"113000","Forestry and logging",34000,0,12,36,1737089,2338000,7365000,99.909715407262,3712748.1717817,0.501448715472281,0.272174460054519,13641060.1165076,7404043.63841057,7725110.54015085,340967.30894813,245780.259701597,3509650.37481839,3864356.57439058,0,13641060.1165076,0.00732418994960347,0.53991404898856,0.171394303670774,0.566313063220238,0.0180176802684248,0.28328858178069,"113000","Forestry and logging",54836487.0461307,0.809003912405826
"12",12,"114000","Fishing, hunting and trapping",34000,0,48,205,8728122,12066000,48535000,568.930323846909,18654956.0780061,0.190416141235813,0.131323380200029,142053578.34676,97969405.0984031,102217723.300784,13212253.0117659,9523819.12064487,69541565.8521728,76569851.265645,0,142053578.34676,0.00400504042536769,0.341666859538896,0.0849397821612511,0.719571618613264,0.0670438522667606,0.5390209254619,"114000","Fishing, hunting and trapping",188954205.078649,0.808754804107592
"13",13,"115000","Support activities for agriculture and forestry",34000,0,214,1797,51293825,89896000,87381000,4987.15996074583,109632295.750212,0.777836016473231,0.562060383075425,195054302.084657,140945255.077405,147057166.159065,3094201.69904135,2230400.61965353,29576604.1410145,32565792.1599644,0,195054302.084657,0.0255680592914136,0.447982941499413,0.460876786819003,0.753929365245373,0.0114347676304288,0.166957569312315,"115000","Support activities for agriculture and forestry",146588765.494203,0.921607160398522
"14",14,"211000","Oil and gas extraction",34000,0,6,35,4335347,5415000,300300000,131.157056145675,6e+06,0.109957717937727,0.0768730418199155,78050768.6173747,54566428.9195056,2.7e+07,3554265.22738787,4e+06,20476876.3882935,1.7e+07,0,78050768.6173747,0.00168040697701058,3.84749574308677,0.0693779202424738,0.34592868818962,0.0512486945466104,0.217806951823094,"211000","Oil and gas extraction",9087692568.96347,0.0785404614332401
"15",15,"212100","Coal mining",34000,0,0,0,0,0,0,0,0,0.301650489779487,0.157060015370642,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"212100","Coal mining",461894205.978694,0
"16",16,"2122A0","Iron, gold, silver, and other metal ore mining",34000,0,0,0,0,0,0,0,0,0.246859128575247,0.133453757225434,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"2122A0","Iron, gold, silver, and other metal ore mining",463431015.824954,0
